TEsubFam	V1	X1	X2	age1	age2	age1.curated	is.age.curated
MLT2D	MLT2D	1.396189368	-4.027099947	92	96	92	No
PABL_B	PABL_B	-0.91104643	1.569851908	92	43	92	No
L1MB5	L1MB5	0.261937025	-5.085391872	93	96	93	No
MER57A-int	MER57A-int	-2.094322288	1.00829456	93	43	93	No
MER68	MER68	-2.908278548	1.513264421	93	105	93	No
MLT1C	MLT1C	1.48794794	-5.574576312	93	96	93	No
L1MB8	L1MB8	0.199655464	-5.671008773	94	96	94	No
L1MD1	L1MD1	-2.501019568	-2.126595647	94	96	94	No
L1P4e	L1P4e	-2.42644106	3.006573626	94	29	94	No
MLT1A0	MLT1A0	1.039801018	-5.910255117	94	90	94	No
MLT1B	MLT1B	1.318397733	-5.75963741	94	96	94	No
MSTA1	MSTA1	1.485044981	0.140900745	94	70.5	94	No
MSTB1-int	MSTB1-int	-4.07833727	1.56354789	94	43	94	No
HERVIP10F-int	HERVIP10F-int	-3.556091579	3.12747485	95	29	95	No
LTR54B	LTR54B	0.528269584	-0.523341791	95	74	95	No
MER34A1	MER34A1	0.582153268	0.439579836	95	90	95	No
MER88	MER88	-1.859569343	1.773213778	95	90	95	No
MER34C	MER34C	0.384400572	0.971912193	95.5	74	95.5	No
LTR24B	LTR24B	-0.789230772	2.836568518	96	43	96	No
LTR49-int	LTR49-int	-2.162448709	2.571212578	96	29	96	No
MER92C	MER92C	0.219926015	1.454441936	96	105	96	No
MLT2B4	MLT2B4	1.242317803	-4.010601264	96	96	96	No
MSTB2	MSTB2	2.138179734	-2.700166783	96	74	96	No
L1PBb	L1PBb	-2.646363567	-1.633224586	97	29	97	No
LTR10B2	LTR10B2	-3.962756113	3.244943146	97	29	97	No
MER92D	MER92D	0.071891285	1.686080612	97	105	97	No
HERV1_LTRe	HERV1_LTRe	-2.44985854	3.039588676	97.5	29	97.5	No
MER31B	MER31B	2.287377502	-0.928231205	98	90	98	No
MER89	MER89	0.433159522	-1.463304654	98	96	98	No
MLT2B3	MLT2B3	1.010560501	-4.443687302	98	43	98	No
LTR38-int	LTR38-int	-2.108085569	0.182452346	99	43	99	No
LTR43B	LTR43B	-0.022416206	1.416599591	99	43	99	No
LTR53B	LTR53B	-1.485119298	1.494812077	99	96	99	No
LTR56	LTR56	0.517927106	1.702949706	99	43	99	No
MER67C	MER67C	0.640402341	-1.581673189	99	96	99	No
MLT1A1-int	MLT1A1-int	-4.000806271	1.945301165	99	43	99	No
L1P4d	L1P4d	-2.423385081	2.692519717	100	43	100	No
MER74A	MER74A	3.178631944	-1.790677783	100	96	100	No
MST-int	MST-int	-4.084271011	1.51296652	100	43	100	No
L1MA10	L1MA10	0.454113914	-5.25305471	101	90	101	No
LTR109A2	LTR109A2	-1.759528293	2.939328707	101	90	101	No
MER21C	MER21C	2.615866495	-3.268718822	101	90	101	No
MER67D	MER67D	0.924865895	-3.131945127	101	96	101	No
MER70-int	MER70-int	-1.963978136	2.953865046	101	74	101	No
MER70B	MER70B	0.353162575	0.617802854	101	90	101	No
MLT1C2	MLT1C2	1.356844391	-5.716008693	101	96	101	No
MLT1D	MLT1D	1.255342032	-5.785551942	101	105	101	No
HERVI-int	HERVI-int	-3.27771779	3.153677877	102	29	102	No
L1M2c	L1M2c	-2.612405346	-2.373576874	102	43	102	No
MER34A	MER34A	0.590740122	-0.136165644	102	90	102	No
MER66-int	MER66-int	-2.146877828	-0.122596888	102	29	102	No
MER74C	MER74C	0.276022972	0.904623863	102	96	102	No
L1M2a1	L1M2a1	-2.668513551	-1.819133135	102.5	29	102.5	No
HERV3-int	HERV3-int	-2.604132978	3.157160883	103	20	103	No
L1MC3	L1MC3	0.218645573	-5.802688333	103	96	103	No
L1MCa	L1MCa	0.089084895	-5.774969703	103	67	103	No
LTR48	LTR48	0.505010505	-1.550822709	103	74	103	No
ERVL-B4-int	ERVL-B4-int	-2.242340842	2.652065167	104	82	104	No
LTR37A	LTR37A	0.404474666	-2.674131539	104	105	104	No
MER65D	MER65D	-0.547611521	1.42438128	104	74	104	No
MER67B	MER67B	0.521675477	1.897216808	104	96	104	No
Arthur1	Arthur1	0.335294913	-2.731063638	NA	NA	105	No
HERVIP10B3-int	HERVIP10B3-int	-3.452118499	3.124251961	105	20	105	No
L1M4	L1M4	-0.252548284	-5.498277395	105	90	105	No
MER101B	MER101B	0.185877241	0.75941293	105	67	105	No
MER39	MER39	1.692237667	-2.558957027	105	74	105	No
MER77	MER77	2.643478519	-1.542565437	105	96	105	No
MER92-int	MER92-int	0.991867059	-2.857815745	105	90	105	No
MLT1A0-int	MLT1A0-int	-4.096304214	1.848639134	105	74	105	No
L1M4c	L1M4c	-2.502535286	-2.682582383	106	43	106	No
LTR75	LTR75	-0.936296745	2.666733528	106	105	106	No
MER101-int	MER101-int	1.266287263	-2.468516068	106	43	106	No
MER87	MER87	-0.72556153	1.434782019	106	43	106	No
MER21-int	MER21-int	-2.09169701	1.012454246	107	67	107	No
MER68B	MER68B	-2.901919723	1.497269057	107	105	107	No
MLT-int	MLT-int	0.794483397	0.309188167	107	43	107	No
L1M	L1M	-0.067280798	-5.49432434	108	96	108	No
L1M2a	L1M2a	-2.543657686	-2.12692311	108	43	108	No
L1MD3	L1MD3	1.280405699	-4.542511259	108	96	108	No
MER65-int	MER65-int	-2.075626447	1.021523617	108	43	108	No
MLT1A	MLT1A	1.215978906	-5.776075992	108	90	108	No
MLT2C1	MLT2C1	2.12585844	-3.160521121	108	96	108	No
HERVFH21-int	HERVFH21-int	-3.095019611	2.822187901	109	29	109	No
HERVK13-int	HERVK13-int	-1.909200188	3.495418318	109	20	109	No
L1MD2	L1MD2	0.31396548	-5.695113348	109	96	109	No
MSTD-int	MSTD-int	-4.103076979	1.852852291	109	43	109	No
MLT1E	MLT1E	1.949760764	-3.391280084	109.5	105	109.5	No
L1M4b	L1M4b	-2.460413767	-2.463921587	110	82	110	No
MLT1F1	MLT1F1	2.223246628	-3.670525365	110	105	110	No
MER76	MER76	-0.278952804	0.752088926	110.5	96	110.5	No
LTR108b_Mam	LTR108b_Mam	-1.853402423	1.863320524	111	105	111	No
MER34	MER34	0.620662553	-0.078238348	111	90	111	No
MLT1C2-int	MLT1C2-int	-3.842543771	2.079762046	111	96	111	No
MLT1E3	MLT1E3	1.766916485	-3.345325772	111	105	111	No
MSTA1-int	MSTA1-int	-2.368568911	3.104586186	111	29	111	No
L1MDa	L1MDa	-2.553161932	-2.304440894	112	96	112	No
LTR48B	LTR48B	1.994608143	-0.878016678	112	74	112	No
LTR53-int	LTR53-int	-2.997817765	2.857896696	112	96	112	No
MLT1F2	MLT1F2	2.139928598	-3.6525875	112	105	112	No
MSTB2-int	MSTB2-int	-3.945264531	1.843260201	112	43	112	No
LTR23-int	LTR23-int	0.282227187	1.114112641	112.5	43	112.5	No
LTR41	LTR41	-0.455219939	0.626683212	113	105	113	No
LTR53	LTR53	-1.306256531	1.216888684	113	96	113	No
MER92B	MER92B	0.351503743	0.435094574	113	96	113	No
L1P4b	L1P4b	-2.404201567	2.873235412	114	29	114	No
MSTC-int	MSTC-int	-4.076657514	1.824706043	114	43	114	No
PRIMA4-int	PRIMA4-int	-2.47832253	2.883493215	114	29	114	No
MER31-int	MER31-int	-2.312713709	3.325110555	114.5	43	114.5	No
LTR108a_Mam	LTR108a_Mam	-1.909417793	1.814764176	115	105	115	No
LTR40b	LTR40b	2.39211683	-0.720566064	115	105	115	No
LTR65	LTR65	-1.477599976	3.121437973	115	105	115	No
MER70C	MER70C	-0.505459721	0.884077371	115	90	115	No
MLT1E1	MLT1E1	2.057320698	-3.344070741	115	105	115	No
MLT1E2	MLT1E2	1.893939987	-3.411536663	115	105	115	No
MLT1F	MLT1F	2.195251311	-3.656721414	115	105	115	No
MLT1-int	MLT1-int	-0.741666671	1.658506534	115.5	74	115.5	No
LTR55	LTR55	1.243951811	0.239090596	116	96	116	No
MLT1B-int	MLT1B-int	-4.032571765	1.925091166	116	90	116	No
HAL1M8	HAL1M8	1.574867505	-3.869492299	117	96	117	No
L1MC	L1MC	0.284992213	-5.575959618	117	96	117	No
LTR75B	LTR75B	-0.537656493	2.61354592	117	105	117	No
MER34-int	MER34-int	-2.425506064	2.919799793	117	43	117	No
MER68-int	MER68-int	-0.517500912	2.493939302	117	96	117	No
MER68C	MER68C	-1.172616383	1.637675802	117	105	117	No
MLT1E1A	MLT1E1A	2.040101878	-3.442866583	117	105	117	No
MLT1M-int	MLT1M-int	-2.323490353	3.246000191	117	74	117	No
LTR102_Mam	LTR102_Mam	1.438432245	-1.134788401	118	105	118	No
L1M4a2	L1M4a2	-2.458712941	-2.455597406	119	96	119	No
L1ME2z	L1ME2z	0.860016255	-4.998671865	119	105	119	No
MER92A	MER92A	0.187711389	1.43910537	119	96	119	No
L1MD	L1MD	0.236268448	-5.344653672	120	96	120	No
LTR41B	LTR41B	-0.398183979	0.627057872	120	105	120	No
MER74B	MER74B	2.277255713	-0.686832671	120	96	120	No
L1MC5	L1MC5	0.656092938	-5.736083555	121	105	121	No
LTR40a	LTR40a	1.886441321	-3.224770453	121	105	121	No
MER65B	MER65B	-0.878757468	1.575424713	121	74	121	No
MER90a	MER90a	2.067700856	-0.019070851	121	105	121	No
MLT1F2-int	MLT1F2-int	-4.46056341	2.679536763	121	96	121	No
CR1-L3B_Croc	CR1-L3B_Croc	-2.33862425	2.48977283	122	105	122	No
L1MC4a	L1MC4a	0.681046744	-5.593190606	122	96	122	No
LTR38	LTR38	-2.052751307	0.163919487	122	43	122	No
LTR39-int	LTR39-int	-0.615617173	1.623889821	122	43	122	No
LTR108c_Mam	LTR108c_Mam	-1.235491808	2.670963757	123	105	123	No
L1ME1	L1ME1	0.087546471	-5.857201961	124	96	124	No
LTR16B	LTR16B	2.202346532	-1.278055706	124	105	124	No
LTR37-int	LTR37-int	1.401770496	-3.137750682	124	96	124	No
LTR52	LTR52	1.610966973	-1.518695149	124	96	124	No
MamRep1151	MamRep1151	1.965352206	-2.554947556	124	105	124	No
LTR37B	LTR37B	0.338607458	-2.626999847	125	105	125	No
X1_LR	X1_LR	-1.934034259	2.713793445	125	159	125	No
L1M3e	L1M3e	-2.680631042	-2.295399447	125.5	43	125.5	No
ERVL-int	ERVL-int	-3.773246635	2.047149115	126	90	126	No
MER34B-int	MER34B-int	1.145614536	-1.22761885	126	43	126	No
MLT1F1-int	MLT1F1-int	-4.495002778	2.681191335	126	96	126	No
MLT1G	MLT1G	2.306507687	-3.876784641	126	105	126	No
EUTREP7	EUTREP7	0.03291562	1.690129165	127	105	127	No
LTR40A1	LTR40A1	1.1677805	-1.341305429	127	105	127	No
X7D_LINE	X7D_LINE	-2.291762821	3.036595594	127	96	127	No
LTR108e_Mam	LTR108e_Mam	-0.941361691	1.575979025	127.5	105	127.5	No
L1MDb	L1MDb	1.123812081	-3.020186844	128	96	128	No
L1ME3	L1ME3	0.664294028	-5.162516583	128	105	128	No
LTR16B2	LTR16B2	1.995626146	-1.37450111	128	105	128	No
LTR35B	LTR35B	-0.699312086	2.600146969	128	43	128	No
LTR41C	LTR41C	-0.155084265	0.482098253	128	105	128	No
MER77B	MER77B	2.755486341	-1.505701554	128	96	128	No
LTR87	LTR87	-2.911008453	1.466657103	128.5	105	128.5	No
L1ME2	L1ME2	0.421678807	-5.636028099	129	96	129	No
LTR108d_Mam	LTR108d_Mam	-1.153230059	1.866435591	129	105	129	No
MLT1D-int	MLT1D-int	-4.419829104	2.628654117	129	96	129	No
MLT1E3-int	MLT1E3-int	-2.811828287	2.994780834	129	96	129	No
MLT1G3	MLT1G3	2.301855882	-3.833951878	129	105	129	No
LTR16B1	LTR16B1	2.367093319	-1.357117121	130	105	130	No
MER90	MER90	1.791750948	0.382532903	130	105	130	No
ERV3-16A3_LTR	ERV3-16A3_LTR	2.360892723	-1.090785557	131	105	131	No
L1MC4	L1MC4	0.643992266	-5.818290943	131	105	131	No
L1MCb	L1MCb	0.727661626	-4.93288208	131	96	131	No
Penelope1_Vert	Penelope1_Vert	1.762181515	1.77873462	131	20	131	No
HERVL32-int	HERVL32-int	-2.316998523	2.781258503	132	43	132	No
L1ME3A	L1ME3A	0.496016484	-5.744404726	132	105	132	No
L1MEc	L1MEc	-0.072703301	-5.722706906	132	96	132	No
LTR68	LTR68	1.422372859	-1.293446061	132	105	132	No
MLT1G1	MLT1G1	2.325263982	-3.937339578	132	105	132	No
L1M3de	L1M3de	-2.593912173	-2.14036602	133	43	133	No
L1M4a1	L1M4a1	0.346121422	-5.051763767	133	96	133	No
LTR33C	LTR33C	1.118279962	-0.879182208	133	105	133	No
MER110A	MER110A	0.394614127	-1.130585783	133	105	133	No
X15_LINE	X15_LINE	-2.686154416	2.170521708	133	29	133	No
X21_LINE	X21_LINE	-1.349413386	3.171682473	133	159	133	No
ERV24B_Prim-int	ERV24B_Prim-int	-2.249101392	2.68999255	134	43	134	No
L1M3c	L1M3c	-2.679426693	-2.639429883	134	74	134	No
LTR16A1	LTR16A1	1.965238198	-3.115622227	134	105	134	No
MLT1F-int	MLT1F-int	-4.488339326	2.661905529	134	96	134	No
MLT1H1	MLT1H1	2.367719463	-3.996081749	134	105	134	No
MLT2F	MLT2F	1.052273973	-2.368477768	134	105	134	No
MLT1E-int	MLT1E-int	-4.396501472	2.665251371	134.5	69.5	134.5	No
L1MC5a	L1MC5a	0.587488063	-5.807368718	135	105	135	No
LTR106_Mam	LTR106_Mam	1.790490751	-0.140957973	135	105	135	No
LTR40c	LTR40c	1.880001317	0.312700434	135	105	135	No
LTR50	LTR50	3.349338256	-1.792555308	135	105	135	No
X5B_LINE	X5B_LINE	-1.828794159	3.194018591	135	29	135	No
L1M8	L1M8	1.493330381	-3.890991621	136	96	136	No
L1ME3B	L1ME3B	0.654935049	-5.075985177	136	96	136	No
L1MEf	L1MEf	-0.002165711	-5.667807543	136	96	136	No
LTR80A	LTR80A	1.526450808	-1.453260493	136	105	136	No
X9_LINE	X9_LINE	1.396511347	1.961890325	136	20	136	No
L1M2b	L1M2b	-2.697252243	-1.668099453	136.5	43	136.5	No
MLT1H	MLT1H	2.41198707	-4.050608916	137	105	137	No
MLT1H2	MLT1H2	2.409202608	-4.079181854	137	105	137	No
ERV24_Prim-int	ERV24_Prim-int	-2.081137571	2.775092059	138	43	138	No
MER89-int	MER89-int	1.109347418	-2.631649237	138	96	138	No
X8_LINE	X8_LINE	-0.149868656	1.855813242	138	96	138	No
MLT1E2-int	MLT1E2-int	-3.882343506	2.113593325	138.5	96	138.5	No
LTR107_Mam	LTR107_Mam	1.134558117	0.824184904	139	105	139	No
LTR16A	LTR16A	1.656687455	-3.215635927	139	105	139	No
LTR16C	LTR16C	1.369946468	-3.814717568	139	105	139	No
L2-3_AMi	L2-3_AMi	-1.070125016	3.543389593	140	105	140	No
MLT2E	MLT2E	0.96286102	0.125274147	140	105	140	No
UCON86	UCON86	-1.246018841	3.516097092	140	105	140	No
UCON49	UCON49	-0.504951233	3.571259539	140.5	105	140.5	No
L1M3b	L1M3b	-2.710734797	-2.316507219	141	67	141	No
L1ME3D	L1ME3D	1.0512173	-4.762193886	141	105	141	No
L1MEg	L1MEg	-0.012266335	-5.563127238	141	96	141	No
L1ME3C	L1ME3C	0.616252332	-5.300623685	142	105	142	No
L1MEb	L1MEb	2.277110227	-2.232229768	142	96	142	No
LTR16D2	LTR16D2	0.354486013	0.811642191	142	105	142	No
LTR33A_	LTR33A_	1.074844277	-1.972796887	142	105	142	No
LTR80B	LTR80B	1.521517234	-1.933934138	142	105	142	No
PRIMAX-int	PRIMAX-int	-1.710687063	2.04622876	142	43	142	No
X12_LINE	X12_LINE	-0.413145144	3.61149639	142	43	142	No
L1ME3E	L1ME3E	0.926344581	-4.956334257	143	105	143	No
L1ME3F	L1ME3F	1.094434687	-4.761691351	143	105	143	No
L1MEa	L1MEa	1.503253697	-1.357476356	143	96	143	No
LTR16E1	LTR16E1	1.707828598	-3.168600551	143	105	143	No
LTR82A	LTR82A	2.171939987	-2.455494781	143	105	143	No
L2-2_Mam	L2-2_Mam	1.471272657	1.852376304	143.5	105	143.5	No
LTR81AB	LTR81AB	0.566634767	0.34269491	143.5	105	143.5	No
L1ME4a	L1ME4a	0.566803902	-5.847541505	144	105	144	No
HAL1b	HAL1b	1.275934625	-4.194312472	145	105	145	No
L1M5	L1M5	0.116678043	-5.838649741	145	96	145	No
MLT1G1-int	MLT1G1-int	-4.46074309	2.665401721	145	96	145	No
MLT1H2-int	MLT1H2-int	-4.481700784	2.674329257	145	96	145	No
MLT1I	MLT1I	1.375424335	-5.637208861	145	105	145	No
L1ME3Cz	L1ME3Cz	0.417899948	-5.785712884	146	105	146	No
L1ME4b	L1ME4b	0.612506236	-5.823490428	146	105	146	No
LTR33	LTR33	1.547545548	-2.958791639	146	105	146	No
MER110	MER110	0.543244015	-1.44535557	146	105	146	No
X6B_LINE	X6B_LINE	1.132519345	1.918759908	146	96	146	No
EUTREP15	EUTREP15	0.289947074	1.533222337	146.5	105	146.5	No
LTR16A2	LTR16A2	0.361444777	-2.750512662	147	105	147	No
LTR16D	LTR16D	1.236193493	-0.954199282	147	105	147	No
LTR33A	LTR33A	1.046262173	-1.990356915	147	105	147	No
LTR67B	LTR67B	2.440866587	-3.337066034	147	105	147	No
LTR82B	LTR82B	0.585007651	-2.083164122	147	105	147	No
MLT1G-int	MLT1G-int	-4.267927214	2.716242406	147	96	147	No
MamGypLTR2b	MamGypLTR2b	0.370367418	-2.566262013	147	105	147	No
L1ME4c	L1ME4c	3.130979497	-3.89240672	148	105	148	No
L1MEg1	L1MEg1	2.366971173	-0.945009604	148	96	148	No
L1MEi	L1MEi	0.593256481	-5.270463659	148	105	148	No
LTR33B	LTR33B	0.854981898	-2.381976713	148	105	148	No
X1_LINE	X1_LINE	-1.398530513	2.999585467	148	105	148	No
CR1-16_AMi	CR1-16_AMi	0.887539464	0.622178715	148.5	105	148.5	No
EUTREP16	EUTREP16	1.689717007	1.852223833	149	105	149	No
HAL1	HAL1	0.822779131	-5.128843365	149	105	149	No
L1MEd	L1MEd	0.218249818	-5.931014365	149	96	149	No
LTR16	LTR16	1.528822883	-2.930189894	149	105	149	No
LTR16D1	LTR16D1	-0.145874817	1.087517399	149	105	149	No
LTR16E2	LTR16E2	1.485583001	-2.946243881	149	105	149	No
LTR81A	LTR81A	0.758414312	-1.149056883	149	105	149	No
MLT1G3-int	MLT1G3-int	-4.414545592	2.714087428	149	96	149	No
MLT1J2	MLT1J2	1.89086365	-4.031284502	149	105	149	No
L1M3d	L1M3d	-2.554699918	-2.198907451	150	90	150	No
MLT1J1	MLT1J1	1.592077404	-3.818898186	150	105	150	No
MLT1M	MLT1M	3.491647288	-1.112850594	150	105	150	No
MLT1N2	MLT1N2	2.326213352	-3.273143119	150	105	150	No
MamGypLTR1d	MamGypLTR1d	0.535363918	-0.755316745	150	105	150	No
HAL1ME	HAL1ME	0.8208018	-5.149834821	151	105	151	No
L1MEg2	L1MEg2	1.774718885	-1.755750584	151	96	151	No
LTR81B	LTR81B	0.354515585	-2.61078433	151	105	151	No
LTR86B1	LTR86B1	-1.611657321	1.336093248	151	105	151	No
LTR88a	LTR88a	0.693195403	-1.087817914	151	105	151	No
MLT1H1-int	MLT1H1-int	-4.427002821	2.623750484	151	96	151	No
MLT1J	MLT1J	2.315940749	-3.819190916	151	105	151	No
MamGypLTR2c	MamGypLTR2c	0.434927409	-2.37913195	151	105	151	No
MamGypLTR4	MamGypLTR4	0.326378086	-2.676665361	151	105	151	No
CR1-1_Amn	CR1-1_Amn	-0.894966534	3.487046369	151.5	159	151.5	No
LTR83	LTR83	2.879538128	-0.244917419	151.5	105	151.5	No
UCON51	UCON51	-0.938449928	3.657138814	151.5	105	151.5	No
L1M7	L1M7	1.436556577	-4.02580088	152	105	152	No
L1MCc	L1MCc	0.664539634	-4.783239723	152	96	152	No
L1MEh	L1MEh	1.022462203	-4.351244782	152	105	152	No
LTR103_Mam	LTR103_Mam	0.562999458	-0.881008368	152	105	152	No
LTR90A	LTR90A	0.592588071	1.551569399	152	105	152	No
MLT1H-int	MLT1H-int	-4.510006604	2.677247391	152	96	152	No
MamRTE2	MamRTE2	-1.248209486	2.604658424	152	105	152	No
MER129	MER129	-0.379445692	3.460063419	152.5	105	152.5	No
L1M6B	L1M6B	2.537801745	-0.9128631	153	105	153	No
L1ME3G	L1ME3G	0.531364284	-5.834637878	153	105	153	No
LTR86A2	LTR86A2	1.767485422	0.768582799	153	105	153	No
MIR	MIR	3.706925151	-3.993660945	153	105	153	No
MLT1L	MLT1L	2.547605981	-3.886307644	153	105	153	No
MLT1O	MLT1O	2.87127711	-3.720428578	153	105	153	No
X20_LINE	X20_LINE	0.734362969	2.808896236	153	105	153	No
CR1-12_AMi	CR1-12_AMi	0.187649633	1.881006506	154	105	154	No
L1M3a	L1M3a	-2.276023366	-1.997350183	154	67	154	No
L1ME5	L1ME5	1.870168366	-3.503436111	154	105	154	No
L5	L5	1.969865646	1.543372804	154	105	154	No
LTR105_Mam	LTR105_Mam	2.182694775	-0.949377491	154	105	154	No
LTR81	LTR81	0.556960987	-1.739629493	155	105	155	No
LTR85a	LTR85a	0.332166075	-2.887737034	155	105	155	No
LTR86A1	LTR86A1	2.413007197	-0.198146233	155	105	155	No
LTR89B	LTR89B	1.930554179	-0.913466565	155	105	155	No
AmnSINE2	AmnSINE2	0.598332219	3.128654628	156	105	156	No
Eutr5	Eutr5	0.504665026	-0.656947347	156	105	156	No
L1MEj	L1MEj	1.13918233	-4.261999057	156	105	156	No
L2-1_Crp	L2-1_Crp	-1.995060788	3.049465369	156	105	156	No
LTR103b_Mam	LTR103b_Mam	0.725634599	-0.374276661	156	105	156	No
LTR78B	LTR78B	1.392043546	-3.457256395	156	105	156	No
MLT1J2-int	MLT1J2-int	-3.893187222	2.161790146	156	105	156	No
MamGypLTR1a	MamGypLTR1a	0.364190311	-2.579374305	156	105	156	No
X13_LINE	X13_LINE	-0.640719283	3.063387236	156	159	156	No
AmnSINE1	AmnSINE1	4.604092899	-1.476332245	157	105	157	No
MamGypLTR1b	MamGypLTR1b	0.595575993	-2.183188187	157	105	157	No
MamGypLTR1c	MamGypLTR1c	0.704978737	-2.279675101	157	105	157	No
LTR86B2	LTR86B2	1.57587508	0.482075887	157.5	105	157.5	No
CR1-L3A_Croc	CR1-L3A_Croc	1.473218506	2.303395741	158	105	158	No
Eutr18	Eutr18	2.071377135	1.493772394	158	105	158	No
LTR79	LTR79	2.705623546	-3.181351013	158	105	158	No
LTR84b	LTR84b	2.41094663	-1.107948433	158	105	158	No
LTR90B	LTR90B	1.311402931	0.963272039	158	105	158	No
MLT1K	MLT1K	2.687751049	-3.854281805	158	105	158	No
MamRep605	MamRep605	3.513795577	-2.888981131	158	105	158	No
X6A_LINE	X6A_LINE	3.909497691	-0.899365687	158	96	158	No
EUTREP8	EUTREP8	1.140535326	2.21181994	159	105	159	No
L2a	L2a	3.63052601	-4.214736982	159	105	159	No
LTR81C	LTR81C	0.643035106	-2.142626569	159	105	159	No
LTR85c	LTR85c	0.854273083	-1.844854788	159	105	159	No
LTR86C	LTR86C	1.687430619	0.95045085	159	105	159	No
MamRep605b	MamRep605b	3.634774545	-2.816887229	159	105	159	No
Eutr10	Eutr10	2.186350485	-0.892675215	160	105	160	No
LTR104_Mam	LTR104_Mam	1.443343191	-2.738406945	160	105	160	No
LTR85b	LTR85b	0.842963641	-2.156775999	160	105	160	No
LTR88b	LTR88b	0.300511295	-2.796996569	160	105	160	No
LTR91	LTR91	0.352892124	-3.05768387	160	105	160	No
MER110-int	MER110-int	0.749569888	-1.378491827	160	96	160	No
LTR78	LTR78	1.247479584	-3.594593116	161	105	161	No
MamGypLTR3	MamGypLTR3	4.437064114	-1.053748322	161	105	161	No
Mam_R4	Mam_R4	1.136706158	0.575812658	161	105	161	No
X17_LINE	X17_LINE	2.002095124	1.90538924	161	105	161	No
CR1-13_AMi	CR1-13_AMi	-0.077972827	2.370843916	162	159	162	No
LTR84a	LTR84a	2.240082268	-0.851174402	162	105	162	No
LTR91A	LTR91A	0.381955006	-3.100614303	162	105	162	No
X2_LINE	X2_LINE	1.115875864	2.073290202	162	105	162	No
LTR88c	LTR88c	0.435705805	-2.345303771	163	105	163	No
LTR89	LTR89	2.026316262	-1.31212502	163	105	163	No
MamGypLTR3a	MamGypLTR3a	4.471692913	-1.108461486	163	105	163	No
MamRep1527	MamRep1527	0.787949309	-2.036393482	163	105	163	No
PRIMA41-int	PRIMA41-int	-2.609698535	2.870477217	163.5	43	163.5	No
LTR101_Mam	LTR101_Mam	2.563866315	-1.979605659	164	105	164	No
X7B_LINE	X7B_LINE	4.141368523	-1.094036418	164	105	164	No
L1M6	L1M6	1.115962397	-4.236631092	165	105	165	No
MARE6	MARE6	0.474213128	2.001019939	165	105	165	No
MIR1_Amn	MIR1_Amn	4.098438171	-2.362341555	165	105	165	No
CR1_Mam	CR1_Mam	4.198467663	-1.332938285	166	105	166	No
L4_A_Mam	L4_A_Mam	3.018018984	-3.879880444	166	105	166	No
MLT1N2-int	MLT1N2-int	-1.585596414	2.549664854	166	105	166	No
Plat_L3	Plat_L3	4.144998541	-2.866258666	166	105	166	No
X24_LINE	X24_LINE	1.188807207	2.1369559	166	105	166	No
CR1-11_Crp	CR1-11_Crp	-1.897758833	2.666231723	167	105	167	No
ERV3-16A3_I-int	ERV3-16A3_I-int	-1.453465749	2.653921723	167	96	167	No
MIRb	MIRb	3.737230975	-4.048987635	167	105	167	No
MamGypsy2-LTR	MamGypsy2-LTR	1.441708038	-0.724188743	167	105	167	No
MLT1J-int	MLT1J-int	2.09868846	-2.721596013	168	105	168	No
X7A_LINE	X7A_LINE	2.015756098	2.154747297	168	105	168	No
HERV16-int	HERV16-int	1.15271977	-3.411845262	170	96	170	No
L4_B_Mam	L4_B_Mam	3.523254186	-2.714157656	170	105	170	No
L4_C_Mam	L4_C_Mam	3.116990825	-3.757976423	170	105	170	No
MamGypsy2-I	MamGypsy2-I	0.596023976	-3.262533979	170	105	170	No
X7C_LINE	X7C_LINE	1.77690284	2.287731187	170	105	170	No
L2-1_AMi	L2-1_AMi	2.574637431	-0.9353062	171	105	171	No
MIRc	MIRc	3.702755816	-3.9948117	171	105	171	No
MLT1I-int	MLT1I-int	-4.356932652	2.689177178	171	105	171	No
MamRTE1	MamRTE1	4.018738415	-3.15451769	171	105	171	No
LFSINE_Vert	LFSINE_Vert	4.595264566	-1.47896651	172	105	172	No
MIR3	MIR3	3.707826756	-4.037836005	173	105	173	No
MLT1L-int	MLT1L-int	-0.331908282	1.463827148	175	105	175	No
L2-3_Crp	L2-3_Crp	3.860301248	-1.011399596	177	105	177	No
MLT1K-int	MLT1K-int	-0.752770487	2.462914807	178	105	178	No
MamSINE1	MamSINE1	3.930754508	-3.110064219	178	105	178	No
L2b	L2b	3.663786073	-4.215374276	179	105	179	No
L2d2	L2d2	3.643241549	-4.093642243	179	105	179	No
CR1-3_Croc	CR1-3_Croc	4.055099873	-1.057924956	180	105	180	No
ERVL-E-int	ERVL-E-int	0.640860308	-5.327430275	180	96	180	No
L3b	L3b	3.996435082	-3.257176578	181	105	181	No
L2d	L2d	3.648462439	-4.056821486	182	105	182	No
L2c	L2c	3.672520348	-4.223026732	183	105	183	No
L3	L3	3.80338006	-3.456426176	183	105	183	No
PABL_B-int	PABL_B-int	-2.580471739	3.128048743	186	74	186	No
MamGyp-int	MamGyp-int	0.436263955	-1.222396364	187	105	187	No
L2	L2	3.606117841	-4.157218438	189	105	189	No
Chompy-6_Croc	Chompy-6_Croc	-0.572794403	3.569535781	NA	NA	320	Amniota
Eulor1	Eulor1	-0.704733559	2.887768061	NA	NA	320	Amniota
