name,ratio,p.adj,sig,cond,day,role
TCF12,-0.283,0.792,FALSE,dKvsGFP,0,
FLOT1,-0.157,0.793,FALSE,dKvsGFP,0,
KIF11,0.388,0.793,FALSE,dKvsGFP,0,
HCFC1,-0.32,0.794,FALSE,dKvsGFP,0,
TUBGCP3,0.148,0.794,FALSE,dKvsGFP,0,
SEC13,-0.21,0.795,FALSE,dKvsGFP,0,
EXOSC4,-0.178,0.796,FALSE,dKvsGFP,0,
KDELR1,0.175,0.796,FALSE,dKvsGFP,0,
SLC29A1,-0.187,0.796,FALSE,dKvsGFP,0,
SUCLG1,-0.108,0.796,FALSE,dKvsGFP,0,
TLK2,-0.357,0.797,FALSE,dKvsGFP,0,
CLTC,0.112,0.798,FALSE,dKvsGFP,0,
DYNLL1,0.207,0.798,FALSE,dKvsGFP,0,
EXOSC8,-0.116,0.799,FALSE,dKvsGFP,0,
KRT2,-1.02,0.799,FALSE,dKvsGFP,0,
LLGL1,-0.139,0.799,FALSE,dKvsGFP,0,
NAMPT,0.0865,0.799,FALSE,dKvsGFP,0,
RAVER2,-0.169,0.799,FALSE,dKvsGFP,0,
SRSF10,0.254,0.8,FALSE,dKvsGFP,0,
TAGLN,0.356,0.8,FALSE,dKvsGFP,0,
TBL3,0.23,0.8,FALSE,dKvsGFP,0,
RRP36,0.641,0.801,FALSE,dKvsGFP,0,
SRP9,-0.128,0.801,FALSE,dKvsGFP,0,
ARPC4-TTLL3,-0.117,0.802,FALSE,dKvsGFP,0,
KAT5,0.424,0.802,FALSE,dKvsGFP,0,
KRT78,-0.78,0.802,FALSE,dKvsGFP,0,
LUC7L3,0.282,0.802,FALSE,dKvsGFP,0,
MYO1E,-0.111,0.802,FALSE,dKvsGFP,0,
OAT,-0.109,0.802,FALSE,dKvsGFP,0,
FHL2,-0.186,0.803,FALSE,dKvsGFP,0,
NUP133,0.115,0.803,FALSE,dKvsGFP,0,
PSMC2,0.111,0.803,FALSE,dKvsGFP,0,
ECHS1,-0.134,0.804,FALSE,dKvsGFP,0,
GNL3,-0.0981,0.804,FALSE,dKvsGFP,0,
PLEC,0.274,0.804,FALSE,dKvsGFP,0,
SRSF3,-0.209,0.804,FALSE,dKvsGFP,0,
SUCLA2,-0.106,0.804,FALSE,dKvsGFP,0,
ERLIN2,0.113,0.805,FALSE,dKvsGFP,0,
LSM12,-0.212,0.805,FALSE,dKvsGFP,0,
PPP2R2A,-0.174,0.805,FALSE,dKvsGFP,0,
RTCB,-0.115,0.805,FALSE,dKvsGFP,0,
DCAKD,0.232,0.806,FALSE,dKvsGFP,0,
KIF2A,0.115,0.806,FALSE,dKvsGFP,0,
MRPL27,0.232,0.806,FALSE,dKvsGFP,0,
ANAPC1,-0.178,0.807,FALSE,dKvsGFP,0,
PHGDH,-0.116,0.807,FALSE,dKvsGFP,0,
RAB1B,-0.288,0.807,FALSE,dKvsGFP,0,
AIMP1,0.112,0.808,FALSE,dKvsGFP,0,
DDX10,1.02,0.808,FALSE,dKvsGFP,0,
PHF3,0.13,0.808,FALSE,dKvsGFP,0,
PLEKHA5,-0.179,0.808,FALSE,dKvsGFP,0,
SETD2,1.48,0.808,FALSE,dKvsGFP,0,
ATRX,0.321,0.809,FALSE,dKvsGFP,0,
CNDP2,0.0929,0.809,FALSE,dKvsGFP,0,
POLR2H,-0.154,0.809,FALSE,dKvsGFP,0,
TRNT1,0.13,0.809,FALSE,dKvsGFP,0,
EPB41L2,0.274,0.81,FALSE,dKvsGFP,0,
MTHFD1L,0.0963,0.81,FALSE,dKvsGFP,0,
PDIA6,0.168,0.81,FALSE,dKvsGFP,0,
RAB13,0.196,0.81,FALSE,dKvsGFP,0,
RPS2,-0.0773,0.81,FALSE,dKvsGFP,0,
ANXA7,0.169,0.811,FALSE,dKvsGFP,0,
ARFGEF1,0.178,0.811,FALSE,dKvsGFP,0,
DPYSL3,-0.0717,0.811,FALSE,dKvsGFP,0,
FN3KRP,-0.242,0.811,FALSE,dKvsGFP,0,
GNB1,-0.101,0.811,FALSE,dKvsGFP,0,
PRPS1,0.092,0.811,FALSE,dKvsGFP,0,
SMARCD2,-0.0741,0.811,FALSE,dKvsGFP,0,
TAF6,0.367,0.811,FALSE,dKvsGFP,0,
GTF3C1,0.342,0.812,FALSE,dKvsGFP,0,
GTPBP10,-0.207,0.812,FALSE,dKvsGFP,0,
LUC7L2,0.186,0.812,FALSE,dKvsGFP,0,
MFN2,0.167,0.812,FALSE,dKvsGFP,0,
TAB2,-0.218,0.812,FALSE,dKvsGFP,0,
VDAC2,-0.102,0.812,FALSE,dKvsGFP,0,
SOX2,0.128,0.813,FALSE,dKvsGFP,0,
SSBP1,0.218,0.813,FALSE,dKvsGFP,0,
ARPC2,-0.107,0.814,FALSE,dKvsGFP,0,
NOC2L,0.114,0.814,FALSE,dKvsGFP,0,
RPL19,-0.15,0.814,FALSE,dKvsGFP,0,
WDR33,0.812,0.814,FALSE,dKvsGFP,0,
DHCR7,0.103,0.815,FALSE,dKvsGFP,0,
GTF3C3,0.25,0.815,FALSE,dKvsGFP,0,
SRSF9,0.185,0.815,FALSE,dKvsGFP,0,
SUMO1,-0.811,0.815,FALSE,dKvsGFP,0,
HNRNPH1,0.0908,0.816,FALSE,dKvsGFP,0,
NDC1,-0.134,0.816,FALSE,dKvsGFP,0,
NUDT16L1,-0.159,0.816,FALSE,dKvsGFP,0,
TRIM22,-0.318,0.816,FALSE,dKvsGFP,0,
C14orf166,-0.115,0.817,FALSE,dKvsGFP,0,
CDCA2,-0.403,0.817,FALSE,dKvsGFP,0,
FARSB,-0.0824,0.817,FALSE,dKvsGFP,0,
UTP20,0.549,0.818,FALSE,dKvsGFP,0,
BOLA2,-0.239,0.819,FALSE,dKvsGFP,0,
DDX3X,-0.072,0.819,FALSE,dKvsGFP,0,
USP36,0.904,0.819,FALSE,dKvsGFP,0,
AATF,-0.486,0.82,FALSE,dKvsGFP,0,
ACSL3,-0.0904,0.82,FALSE,dKvsGFP,0,
ACTA1,0.223,0.82,FALSE,dKvsGFP,0,
CNN2,0.117,0.82,FALSE,dKvsGFP,0,
CTCF,-0.287,0.82,FALSE,dKvsGFP,0,
ILKAP,-0.208,0.82,FALSE,dKvsGFP,0,
ZNF24,0.909,0.821,FALSE,dKvsGFP,0,
BAZ2A,0.838,0.822,FALSE,dKvsGFP,0,
CEP85,-0.117,0.822,FALSE,dKvsGFP,0,
CKMT1A,-0.123,0.822,FALSE,dKvsGFP,0,
FAM120A,-0.164,0.822,FALSE,dKvsGFP,0,
NELFB,-0.209,0.822,FALSE,dKvsGFP,0,
PRPSAP2,0.111,0.822,FALSE,dKvsGFP,0,
SQLE,0.114,0.822,FALSE,dKvsGFP,0,
SSR4,0.103,0.822,FALSE,dKvsGFP,0,
CCT6A,-0.0795,0.823,FALSE,dKvsGFP,0,
DHX15,0.0653,0.823,FALSE,dKvsGFP,0,
FAF2,-0.16,0.823,FALSE,dKvsGFP,0,
FAU,-0.726,0.823,FALSE,dKvsGFP,0,
IGF2BP1,-0.0859,0.823,FALSE,dKvsGFP,0,
PPAT,-0.12,0.823,FALSE,dKvsGFP,0,
CECR5,0.128,0.824,FALSE,dKvsGFP,0,
CNOT1,0.114,0.824,FALSE,dKvsGFP,0,
EIF5A,-0.149,0.824,FALSE,dKvsGFP,0,
NCAPG,-0.15,0.824,FALSE,dKvsGFP,0,
RFC5,0.11,0.824,FALSE,dKvsGFP,0,
SNRPA,0.54,0.824,FALSE,dKvsGFP,0,
THOC2,0.56,0.824,FALSE,dKvsGFP,0,
CBX5,0.152,0.825,FALSE,dKvsGFP,0,
MCM4,0.0863,0.825,FALSE,dKvsGFP,0,
NSUN2,-0.076,0.825,FALSE,dKvsGFP,0,
RPS13,0.125,0.825,FALSE,dKvsGFP,0,
THUMPD3,-0.116,0.825,FALSE,dKvsGFP,0,
UBAC2,0.219,0.825,FALSE,dKvsGFP,0,
CBS,-0.099,0.826,FALSE,dKvsGFP,0,
ING3,0.449,0.826,FALSE,dKvsGFP,0,
MAPRE2,0.206,0.826,FALSE,dKvsGFP,0,
NUP85,0.152,0.826,FALSE,dKvsGFP,0,
ORC3,0.158,0.826,FALSE,dKvsGFP,0,
PCBP2,-0.1,0.826,FALSE,dKvsGFP,0,
PFKL,-0.105,0.826,FALSE,dKvsGFP,0,
PPP2R1A,0.155,0.826,FALSE,dKvsGFP,0,
RPL7A,0.0597,0.826,FALSE,dKvsGFP,0,
ARL1,0.188,0.827,FALSE,dKvsGFP,0,
GYS1,0.187,0.827,FALSE,dKvsGFP,0,
TK1,0.197,0.827,FALSE,dKvsGFP,0,
BCL9L,0.362,0.828,FALSE,dKvsGFP,0,
DDX18,0.163,0.828,FALSE,dKvsGFP,0,
KEAP1,0.233,0.828,FALSE,dKvsGFP,0,
NUP188,0.701,0.828,FALSE,dKvsGFP,0,
RPL31,0.117,0.828,FALSE,dKvsGFP,0,
ALDH1B1,-0.0966,0.829,FALSE,dKvsGFP,0,
ANKRD11,-0.335,0.829,FALSE,dKvsGFP,0,
EIF4A1,0.0623,0.829,FALSE,dKvsGFP,0,
RAB7A,0.372,0.829,FALSE,dKvsGFP,0,
COPG1,0.141,0.83,FALSE,dKvsGFP,0,
DNAJA3,-0.182,0.83,FALSE,dKvsGFP,0,
NCOR2,-0.123,0.83,FALSE,dKvsGFP,0,
FLII,0.127,0.831,FALSE,dKvsGFP,0,
MAP2K2,0.132,0.831,FALSE,dKvsGFP,0,
PSIP1,-0.297,0.831,FALSE,dKvsGFP,0,
ATP6V1B2,-0.17,0.832,FALSE,dKvsGFP,0,
FAM175B,0.363,0.832,FALSE,dKvsGFP,0,
FARSA,-0.0907,0.832,FALSE,dKvsGFP,0,
HADH,0.228,0.832,FALSE,dKvsGFP,0,
NES,0.206,0.832,FALSE,dKvsGFP,0,
ORC4,0.16,0.832,FALSE,dKvsGFP,0,
RNF113A,0.376,0.832,FALSE,dKvsGFP,0,
SNRPD1,-0.166,0.832,FALSE,dKvsGFP,0,
MED15,-0.251,0.833,FALSE,dKvsGFP,0,
MGST1,-0.106,0.833,FALSE,dKvsGFP,0,
RPS19,0.461,0.833,FALSE,dKvsGFP,0,
SLC25A6,-0.0586,0.833,FALSE,dKvsGFP,0,
XPOT,0.127,0.833,FALSE,dKvsGFP,0,
COPE,0.187,0.834,FALSE,dKvsGFP,0,
LRBA,0.232,0.834,FALSE,dKvsGFP,0,
PDHA1,0.106,0.834,FALSE,dKvsGFP,0,
RPL10A,-0.0725,0.834,FALSE,dKvsGFP,0,
SENP3,0.196,0.834,FALSE,dKvsGFP,0,
SLC1A5,0.1,0.834,FALSE,dKvsGFP,0,
ZNF281,-0.446,0.834,FALSE,dKvsGFP,0,
CNOT10,0.0955,0.835,FALSE,dKvsGFP,0,
UBR4,0.289,0.835,FALSE,dKvsGFP,0,
ATP5A1,-0.0626,0.836,FALSE,dKvsGFP,0,
CCNL1,0.341,0.836,FALSE,dKvsGFP,0,
CSK,0.124,0.836,FALSE,dKvsGFP,0,
DSP,-0.699,0.836,FALSE,dKvsGFP,0,
G6PD,0.0618,0.836,FALSE,dKvsGFP,0,
NMD3,0.173,0.836,FALSE,dKvsGFP,0,
RPL35,-0.524,0.836,FALSE,dKvsGFP,0,
UNC45A,0.145,0.836,FALSE,dKvsGFP,0,
BOP1,-0.54,0.837,FALSE,dKvsGFP,0,
SF3B4,-0.239,0.837,FALSE,dKvsGFP,0,
ZBTB12,0.28,0.837,FALSE,dKvsGFP,0,
CON__P62894,0.246,0.838,FALSE,dKvsGFP,0,
NUMA1,-0.487,0.838,FALSE,dKvsGFP,0,
SFSWAP,0.301,0.838,FALSE,dKvsGFP,0,
SMCHD1,-0.155,0.838,FALSE,dKvsGFP,0,
ZC3H14,0.994,0.838,FALSE,dKvsGFP,0,
EFTUD2,0.188,0.839,FALSE,dKvsGFP,0,
JAGN1,-0.135,0.839,FALSE,dKvsGFP,0,
NPEPPS,0.0674,0.839,FALSE,dKvsGFP,0,
SET,-0.816,0.839,FALSE,dKvsGFP,0,
API5,-0.506,0.84,FALSE,dKvsGFP,0,
BRD4,0.32,0.84,FALSE,dKvsGFP,0,
KIF5B,-0.125,0.84,FALSE,dKvsGFP,0,
NHP2L1,-0.197,0.84,FALSE,dKvsGFP,0,
SHMT2,-0.082,0.84,FALSE,dKvsGFP,0,
EP400,0.38,0.841,FALSE,dKvsGFP,0,
FLAD1,-0.163,0.841,FALSE,dKvsGFP,0,
GNAI3,-0.0672,0.841,FALSE,dKvsGFP,0,
NOSIP,0.217,0.841,FALSE,dKvsGFP,0,
PCCA,-0.106,0.841,FALSE,dKvsGFP,0,
Q9UHD8-5,0.0632,0.841,FALSE,dKvsGFP,0,
SNW1,1.15,0.841,FALSE,dKvsGFP,0,
VRTN,-0.0937,0.841,FALSE,dKvsGFP,0,
ABCF3,-0.106,0.842,FALSE,dKvsGFP,0,
CAP1,0.14,0.842,FALSE,dKvsGFP,0,
DHX35,0.364,0.842,FALSE,dKvsGFP,0,
DLD,0.0822,0.842,FALSE,dKvsGFP,0,
HDAC2,0.128,0.842,FALSE,dKvsGFP,0,
MMS19,0.22,0.842,FALSE,dKvsGFP,0,
PRPF8,0.084,0.842,FALSE,dKvsGFP,0,
PSMA4,0.122,0.842,FALSE,dKvsGFP,0,
RAC1,0.288,0.842,FALSE,dKvsGFP,0,
SRP14,-0.0746,0.842,FALSE,dKvsGFP,0,
WDR43,0.288,0.842,FALSE,dKvsGFP,0,
DIAPH1,0.389,0.843,FALSE,dKvsGFP,0,
INCENP,-0.465,0.843,FALSE,dKvsGFP,0,
NXF1,0.144,0.843,FALSE,dKvsGFP,0,
RUVBL2,0.129,0.843,FALSE,dKvsGFP,0,
ZBTB34,-0.253,0.843,FALSE,dKvsGFP,0,
ATP13A1,-0.0969,0.844,FALSE,dKvsGFP,0,
CFDP1,0.227,0.844,FALSE,dKvsGFP,0,
FDPS,0.0849,0.844,FALSE,dKvsGFP,0,
GNB1L,-0.21,0.844,FALSE,dKvsGFP,0,
C21orf33,0.109,0.845,FALSE,dKvsGFP,0,
HDLBP,-0.0932,0.845,FALSE,dKvsGFP,0,
HNRNPL,0.184,0.845,FALSE,dKvsGFP,0,
PUS1,0.109,0.845,FALSE,dKvsGFP,0,
RPN2,-0.0723,0.845,FALSE,dKvsGFP,0,
TSFM,0.0935,0.845,FALSE,dKvsGFP,0,
ABCF1,0.065,0.846,FALSE,dKvsGFP,0,
CTDP1,-0.32,0.846,FALSE,dKvsGFP,0,
INTS3,0.259,0.846,FALSE,dKvsGFP,0,
RAB14,0.12,0.846,FALSE,dKvsGFP,0,
RING1,-0.989,0.846,FALSE,dKvsGFP,0,
GNB2L1,0.0557,0.847,FALSE,dKvsGFP,0,
LTA4H,-0.125,0.847,FALSE,dKvsGFP,0,
MAZ,0.95,0.847,FALSE,dKvsGFP,0,
PFKM,-0.159,0.847,FALSE,dKvsGFP,0,
PRPS2,-0.116,0.847,FALSE,dKvsGFP,0,
RBBP4,-0.466,0.847,FALSE,dKvsGFP,0,
TAF4,0.286,0.847,FALSE,dKvsGFP,0,
ZC3H4,0.387,0.847,FALSE,dKvsGFP,0,
EPC1,0.354,0.848,FALSE,dKvsGFP,0,
HSP90AA1,-0.0663,0.848,FALSE,dKvsGFP,0,
PMPCA,-0.127,0.848,FALSE,dKvsGFP,0,
PRCC,0.248,0.848,FALSE,dKvsGFP,0,
RPS3A,-0.0571,0.848,FALSE,dKvsGFP,0,
TXLNG,-0.284,0.848,FALSE,dKvsGFP,0,
FKBP8,-0.113,0.849,FALSE,dKvsGFP,0,
PRPF40B,0.287,0.849,FALSE,dKvsGFP,0,
TIMM50,0.12,0.849,FALSE,dKvsGFP,0,
YWHAQ,0.0936,0.849,FALSE,dKvsGFP,0,
ZBTB21,-0.226,0.849,FALSE,dKvsGFP,0,
KIF18A,0.654,0.85,FALSE,dKvsGFP,0,
MMTAG2,0.901,0.85,FALSE,dKvsGFP,0,
PABPC4,-0.134,0.85,FALSE,dKvsGFP,0,
RAE1,-0.137,0.85,FALSE,dKvsGFP,0,
RPP30,0.0762,0.85,FALSE,dKvsGFP,0,
TBCD,0.138,0.85,FALSE,dKvsGFP,0,
EZR,-0.576,0.851,FALSE,dKvsGFP,0,
MRPS30,-0.163,0.851,FALSE,dKvsGFP,0,
STOML2,0.216,0.851,FALSE,dKvsGFP,0,
ELAC2,-0.14,0.852,FALSE,dKvsGFP,0,
FTSJ3,0.155,0.852,FALSE,dKvsGFP,0,
LRPPRC,0.12,0.852,FALSE,dKvsGFP,0,
MBOAT7,0.133,0.852,FALSE,dKvsGFP,0,
RFC3,0.117,0.852,FALSE,dKvsGFP,0,
RPL23A,0.161,0.852,FALSE,dKvsGFP,0,
TYMS,0.104,0.852,FALSE,dKvsGFP,0,
VDAC3,-0.0739,0.852,FALSE,dKvsGFP,0,
ABCD3,0.154,0.853,FALSE,dKvsGFP,0,
ALDH9A1,-0.169,0.853,FALSE,dKvsGFP,0,
CLUH,0.146,0.853,FALSE,dKvsGFP,0,
LBR,-0.0974,0.853,FALSE,dKvsGFP,0,
LUZP1,-0.244,0.853,FALSE,dKvsGFP,0,
NCKAP1,0.062,0.853,FALSE,dKvsGFP,0,
TECR,-0.123,0.853,FALSE,dKvsGFP,0,
UBE3A,0.181,0.853,FALSE,dKvsGFP,0,
WDHD1,-0.468,0.853,FALSE,dKvsGFP,0,
ZNF195,0.607,0.853,FALSE,dKvsGFP,0,
ACTR3,-0.097,0.854,FALSE,dKvsGFP,0,
ARCN1,0.0671,0.854,FALSE,dKvsGFP,0,
FAHD2A,-0.15,0.854,FALSE,dKvsGFP,0,
KRT17,-1.3,0.854,FALSE,dKvsGFP,0,
MRPL19,-0.155,0.854,FALSE,dKvsGFP,0,
NOL10,0.488,0.854,FALSE,dKvsGFP,0,
RBPMS,0.15,0.854,FALSE,dKvsGFP,0,
SART3,-0.195,0.854,FALSE,dKvsGFP,0,
TUBA1C,0.061,0.854,FALSE,dKvsGFP,0,
ADSS,-0.166,0.855,FALSE,dKvsGFP,0,
BRD7,0.323,0.855,FALSE,dKvsGFP,0,
CWC27,0.199,0.855,FALSE,dKvsGFP,0,
ESF1,0.316,0.855,FALSE,dKvsGFP,0,
GNAS,0.0916,0.855,FALSE,dKvsGFP,0,
HNRNPA0,-0.0904,0.855,FALSE,dKvsGFP,0,
PAPOLG,0.255,0.855,FALSE,dKvsGFP,0,
RBBP7,-0.18,0.855,FALSE,dKvsGFP,0,
RCC2,-0.131,0.855,FALSE,dKvsGFP,0,
SH3GL1,-0.643,0.855,FALSE,dKvsGFP,0,
XAB2,0.192,0.855,FALSE,dKvsGFP,0,
ACTR2,0.0743,0.856,FALSE,dKvsGFP,0,
SAMHD1,0.214,0.856,FALSE,dKvsGFP,0,
SLC2A1,-0.0846,0.856,FALSE,dKvsGFP,0,
ARID2,0.614,0.857,FALSE,dKvsGFP,0,
CCT3,-0.0526,0.857,FALSE,dKvsGFP,0,
EPPK1,0.159,0.857,FALSE,dKvsGFP,0,
MSH3,-0.362,0.857,FALSE,dKvsGFP,0,
RPS15A,-0.0851,0.857,FALSE,dKvsGFP,0,
SLC4A1AP,-0.278,0.857,FALSE,dKvsGFP,0,
SLC7A5,0.284,0.857,FALSE,dKvsGFP,0,
TUBB6,0.114,0.857,FALSE,dKvsGFP,0,
CSNK1E,0.0762,0.858,FALSE,dKvsGFP,0,
JUP,-0.421,0.858,FALSE,dKvsGFP,0,
KIAA1279,0.107,0.858,FALSE,dKvsGFP,0,
NDUFA4,0.144,0.858,FALSE,dKvsGFP,0,
PTCD3,-0.295,0.858,FALSE,dKvsGFP,0,
RPL32,0.123,0.858,FALSE,dKvsGFP,0,
CHD8,-0.855,0.859,FALSE,dKvsGFP,0,
CNN3,0.109,0.859,FALSE,dKvsGFP,0,
DDX39B,-0.0541,0.859,FALSE,dKvsGFP,0,
DHX37,0.179,0.859,FALSE,dKvsGFP,0,
HSD17B4,-0.0756,0.859,FALSE,dKvsGFP,0,
IGF2BP3,-0.0503,0.859,FALSE,dKvsGFP,0,
L3MBTL3,0.692,0.859,FALSE,dKvsGFP,0,
METTL16,0.092,0.859,FALSE,dKvsGFP,0,
PC,-0.0844,0.859,FALSE,dKvsGFP,0,
PCID2,-0.0771,0.859,FALSE,dKvsGFP,0,
PGM3,0.0916,0.859,FALSE,dKvsGFP,0,
PIH1D1,0.204,0.859,FALSE,dKvsGFP,0,
PSMC5,-0.0621,0.859,FALSE,dKvsGFP,0,
RAB11A,0.101,0.859,FALSE,dKvsGFP,0,
RPL14,-0.0883,0.859,FALSE,dKvsGFP,0,
RPL28,-0.0604,0.859,FALSE,dKvsGFP,0,
RRP7A,-0.139,0.859,FALSE,dKvsGFP,0,
TPM3,0.12,0.859,FALSE,dKvsGFP,0,
HIST1H3A,-0.322,0.86,FALSE,dKvsGFP,0,
PCNA,0.0502,0.86,FALSE,dKvsGFP,0,
PGLS,0.257,0.86,FALSE,dKvsGFP,0,
PSMF1,0.0958,0.86,FALSE,dKvsGFP,0,
SRSF2,-0.214,0.86,FALSE,dKvsGFP,0,
AFG3L2,0.182,0.861,FALSE,dKvsGFP,0,
DCAF7,-0.101,0.861,FALSE,dKvsGFP,0,
EARS2,-0.0938,0.861,FALSE,dKvsGFP,0,
ECT2,-0.225,0.861,FALSE,dKvsGFP,0,
GANAB,0.0784,0.861,FALSE,dKvsGFP,0,
LIN54,-0.25,0.861,FALSE,dKvsGFP,0,
NOC3L,0.733,0.861,FALSE,dKvsGFP,0,
RBPJ,-0.0839,0.861,FALSE,dKvsGFP,0,
REV__Q9C0B2-2,-0.335,0.861,FALSE,dKvsGFP,0,
RPL27,-0.101,0.861,FALSE,dKvsGFP,0,
SMARCA1,0.211,0.861,FALSE,dKvsGFP,0,
TRMT5,-0.0889,0.861,FALSE,dKvsGFP,0,
UGP2,0.0889,0.861,FALSE,dKvsGFP,0,
WRN,0.307,0.861,FALSE,dKvsGFP,0,
ACADSB,-0.158,0.862,FALSE,dKvsGFP,0,
BNC2,0.227,0.862,FALSE,dKvsGFP,0,
MRPL44,0.182,0.862,FALSE,dKvsGFP,0,
MRPS11,-0.0941,0.862,FALSE,dKvsGFP,0,
MT1E,-0.208,0.862,FALSE,dKvsGFP,0,
RACGAP1,0.272,0.862,FALSE,dKvsGFP,0,
RPS3,-0.0423,0.862,FALSE,dKvsGFP,0,
SALL3,-0.219,0.862,FALSE,dKvsGFP,0,
TCERG1,0.125,0.862,FALSE,dKvsGFP,0,
ZMAT2,0.404,0.862,FALSE,dKvsGFP,0,
CDKN2AIP,-0.165,0.863,FALSE,dKvsGFP,0,
HLA-A,-0.101,0.863,FALSE,dKvsGFP,0,
POLA1,-0.687,0.863,FALSE,dKvsGFP,0,
POP4,-0.466,0.863,FALSE,dKvsGFP,0,
SAE1,0.138,0.863,FALSE,dKvsGFP,0,
TMEM97,0.121,0.863,FALSE,dKvsGFP,0,
USP39,0.119,0.863,FALSE,dKvsGFP,0,
AARS,0.123,0.864,FALSE,dKvsGFP,0,
BAG2,-0.11,0.864,FALSE,dKvsGFP,0,
EEF2,0.0488,0.864,FALSE,dKvsGFP,0,
FKBP4,0.109,0.864,FALSE,dKvsGFP,0,
GNB2,-0.261,0.864,FALSE,dKvsGFP,0,
IPO7,0.275,0.864,FALSE,dKvsGFP,0,
MCCC1,-0.0864,0.864,FALSE,dKvsGFP,0,
NTPCR,0.129,0.864,FALSE,dKvsGFP,0,
PAK4,0.0938,0.864,FALSE,dKvsGFP,0,
PNKP,0.0817,0.864,FALSE,dKvsGFP,0,
QTRTD1,-0.0839,0.864,FALSE,dKvsGFP,0,
RAB5C,0.0762,0.864,FALSE,dKvsGFP,0,
SRBD1,0.236,0.864,FALSE,dKvsGFP,0,
URB2,0.187,0.864,FALSE,dKvsGFP,0,
TTC37,0.11,0.865,FALSE,dKvsGFP,0,
UQCRC1,-0.064,0.865,FALSE,dKvsGFP,0,
ACP1,-0.123,0.866,FALSE,dKvsGFP,0,
CFL1,-0.0966,0.866,FALSE,dKvsGFP,0,
EEF1A1,-0.0519,0.866,FALSE,dKvsGFP,0,
LRRC41,0.153,0.866,FALSE,dKvsGFP,0,
RPP38,-0.219,0.866,FALSE,dKvsGFP,0,
RSBN1L,-0.203,0.866,FALSE,dKvsGFP,0,
SCAF8,0.821,0.866,FALSE,dKvsGFP,0,
TARS,-0.116,0.866,FALSE,dKvsGFP,0,
UBE2N,0.0537,0.866,FALSE,dKvsGFP,0,
ZNF90,-0.496,0.866,FALSE,dKvsGFP,0,
EIF3I,0.0825,0.867,FALSE,dKvsGFP,0,
FAM192A,-0.17,0.867,FALSE,dKvsGFP,0,
GNAO1,0.269,0.867,FALSE,dKvsGFP,0,
KRI1,-0.2,0.867,FALSE,dKvsGFP,0,
NID1,-0.443,0.867,FALSE,dKvsGFP,0,
NUP93,0.0475,0.867,FALSE,dKvsGFP,0,
PCCB,-0.076,0.867,FALSE,dKvsGFP,0,
RANBP3,-0.298,0.867,FALSE,dKvsGFP,0,
SRSF11,0.264,0.867,FALSE,dKvsGFP,0,
ZFP91-CNTF,-0.279,0.867,FALSE,dKvsGFP,0,
ARF4,0.122,0.868,FALSE,dKvsGFP,0,
MEX3A,-0.118,0.868,FALSE,dKvsGFP,0,
RNGTT,-0.151,0.868,FALSE,dKvsGFP,0,
SALL4,-0.105,0.868,FALSE,dKvsGFP,0,
SF3B6,0.0937,0.868,FALSE,dKvsGFP,0,
USP10,-0.0726,0.868,FALSE,dKvsGFP,0,
AP2A1,-0.0472,0.869,FALSE,dKvsGFP,0,
C2orf47,-0.325,0.869,FALSE,dKvsGFP,0,
CFAP20,0.534,0.869,FALSE,dKvsGFP,0,
CON__P02662,-1.05,0.869,FALSE,dKvsGFP,0,
DIEXF,0.114,0.869,FALSE,dKvsGFP,0,
EEF1B2,-0.145,0.869,FALSE,dKvsGFP,0,
HYOU1,0.0536,0.869,FALSE,dKvsGFP,0,
PDCD11,0.25,0.869,FALSE,dKvsGFP,0,
PHF12,-0.223,0.869,FALSE,dKvsGFP,0,
PRKCI,0.0776,0.869,FALSE,dKvsGFP,0,
PRRC2B,0.36,0.869,FALSE,dKvsGFP,0,
SLC25A5,-0.0798,0.869,FALSE,dKvsGFP,0,
SMNDC1,0.227,0.869,FALSE,dKvsGFP,0,
TJP1,-0.333,0.869,FALSE,dKvsGFP,0,
CON__P02769,0.38,0.87,FALSE,dKvsGFP,0,
DDX31,0.197,0.87,FALSE,dKvsGFP,0,
GTF2F2,0.585,0.87,FALSE,dKvsGFP,0,
SAMM50,0.101,0.87,FALSE,dKvsGFP,0,
TBRG4,0.0754,0.87,FALSE,dKvsGFP,0,
URB1,0.993,0.87,FALSE,dKvsGFP,0,
ANXA2,-0.122,0.871,FALSE,dKvsGFP,0,
ARL2,0.086,0.871,FALSE,dKvsGFP,0,
ILF3,-0.345,0.871,FALSE,dKvsGFP,0,
MBD3,-0.127,0.871,FALSE,dKvsGFP,0,
MCM5,-0.0477,0.871,FALSE,dKvsGFP,0,
PHF21A,0.22,0.871,FALSE,dKvsGFP,0,
REXO1,0.171,0.871,FALSE,dKvsGFP,0,
TUBB8,-0.188,0.871,FALSE,dKvsGFP,0,
USP7,0.23,0.871,FALSE,dKvsGFP,0,
ATAD3B,0.156,0.872,FALSE,dKvsGFP,0,
EIF3M,0.0633,0.872,FALSE,dKvsGFP,0,
IGBP1,-0.169,0.872,FALSE,dKvsGFP,0,
LAMC1,-0.633,0.872,FALSE,dKvsGFP,0,
PCMT1,-0.139,0.872,FALSE,dKvsGFP,0,
PGM2,-0.115,0.872,FALSE,dKvsGFP,0,
SERPINB9,0.142,0.872,FALSE,dKvsGFP,0,
