name,ID,ZNF436_vs_dK_p.val,ZNF436_vs_dK_p.adj,ZNF436_vs_dK_significant,ZNF436_vs_dK_ratio,dK_centered,GFP_centered,wt_centered,ZNF436_centered,role
GATM,A0A6Q8PHC6,0.353327714,0.898,FALSE,0.195,0.162,-0.852,-0.469,0.357,
LLGL1,A0A087WW77,0.352232063,0.898,FALSE,-0.134,0.00864,0.293,0.0386,-0.126,
MARCKS,P29966,0.355269284,0.898,FALSE,0.21,-0.0722,-0.282,0.0565,0.138,
MRPS5,A0A8Q3SIP9,0.350652966,0.898,FALSE,-0.115,0.0913,-0.0597,-0.095,-0.0239,
NASP,P49321,0.350597309,0.898,FALSE,0.154,-0.221,0.369,0.331,-0.0672,
NSUN2,Q08J23,0.351962632,0.898,FALSE,0.0802,-0.128,0.163,0.242,-0.0477,
NTPCR,Q5TDF0,0.351488715,0.898,FALSE,-0.125,0.0069,0.382,-0.0322,-0.118,
OPA1,O60313-10,0.355128415,0.898,FALSE,-0.0673,0.072,0.101,-0.221,0.00476,
RPS18,P62269,0.351758044,0.898,FALSE,-0.203,-0.0586,0.345,0.41,-0.262,
SEC23A,F5H365,0.354449676,0.898,FALSE,-0.0692,0.0668,-0.241,0.0322,-0.00245,
SLC20A2,Q08357,0.354985204,0.898,FALSE,-0.128,0.167,0.0407,-0.44,0.0391,
TUBB,Q5JP53,0.350556704,0.898,FALSE,-0.101,0.0658,-0.0388,-0.0353,-0.0352,
XIRP1,Q702N8,0.355424567,0.898,FALSE,-0.738,1.1,0.441,-3.22,0.363,
GPC4,O75487,0.357910773,0.899,FALSE,-0.366,-0.208,0.71,1.09,-0.573,
HAPLN1,P10915,0.356352204,0.899,FALSE,0.123,-0.147,0.277,0.156,-0.0234,
HMGB1,P09429,0.358504541,0.899,FALSE,0.209,-0.00659,0.086,-0.449,0.203,
ITIH2,Q5T985,0.359178163,0.899,FALSE,-0.234,-0.00625,-0.417,0.771,-0.24,
KRT6A,CON__P02538,0.359021483,0.899,FALSE,-0.617,0.551,-0.867,-0.392,-0.0661,
OXSR1,O95747,0.359392979,0.899,FALSE,-0.0867,0.113,0.0664,-0.323,0.0263,
PARK7,Q99497,0.360891619,0.899,FALSE,-0.137,0.0707,-0.0394,0.0177,-0.0664,
RPLP2,P05387,0.357288043,0.899,FALSE,-0.167,0.223,-0.339,-0.33,0.0553,
SMTN,A0A087X1R1,0.360667412,0.899,FALSE,-0.145,-0.0897,-0.0904,0.708,-0.234,
SRP9,P49458,0.360944226,0.899,FALSE,0.116,-0.00714,-0.0573,-0.166,0.109,
THBS1,P07996,0.358832885,0.899,FALSE,0.228,-0.363,0.512,0.654,-0.134,
TNPO1,Q92973-2,0.358225423,0.899,FALSE,-0.162,-0.053,0.452,0.235,-0.215,
CLPTM1L,G5E9Z2,0.364828544,0.9,FALSE,0.11,-0.0746,-0.102,0.147,0.0349,
COASY,Q13057-2,0.363849255,0.9,FALSE,0.0838,-0.0454,-0.201,0.148,0.0384,
PTMS,P20962,0.361746894,0.9,FALSE,0.362,0.0869,-1.11,-0.329,0.449,
RAB8B,Q92930,0.364631677,0.9,FALSE,0.345,-0.0917,-0.511,0.0175,0.253,
RPL13,P26373,0.363793653,0.9,FALSE,-0.0818,-0.00764,-0.00673,0.199,-0.0894,
STAT1,A0A669KB68,0.362165793,0.9,FALSE,0.304,-0.183,-0.852,0.692,0.121,
TRMT10C,Q7L0Y3,0.364793996,0.9,FALSE,-0.107,0.059,-0.0423,0.00554,-0.0477,
YARS2,Q9Y2Z4,0.365755438,0.9,FALSE,-0.106,-0.042,0.11,0.305,-0.148,
CMPK1,A0A8V8TMN5,0.368587388,0.901,FALSE,-0.139,0.0637,-0.388,0.282,-0.0752,
EEF1E1,O43324,0.369365809,0.901,FALSE,0.44,-0.232,-0.0464,0.0796,0.208,
RPL7,P18124,0.368931516,0.901,FALSE,-0.0643,-0.0101,0.0353,0.146,-0.0744,
SPATS2L,Q9NUQ6,0.369427957,0.901,FALSE,-0.155,0.104,-0.412,0.169,-0.0511,
VDAC1,P21796,0.367822057,0.901,FALSE,0.113,-0.0142,-0.131,-0.0822,0.099,
WDHD1,O75717,0.367870837,0.901,FALSE,0.16,-0.104,-0.0393,0.121,0.0562,
YWHAH,Q04917,0.366862815,0.901,FALSE,-0.0749,-0.0161,-0.0223,0.229,-0.091,
ABCD3,A0A3B3ITW3,0.377043839,0.902,FALSE,-0.179,0.0328,-0.9,0.827,-0.146,
AP2B1,A0A087X253,0.376035903,0.902,FALSE,0.0773,-0.0685,0.0706,0.0722,0.00887,
CAPZA1,P52907,0.377300867,0.902,FALSE,-0.234,0.177,0.0824,-0.295,-0.0569,
CPD,O75976,0.373797168,0.902,FALSE,0.14,-0.161,-0.0707,0.412,-0.0212,
EIF3L,B0QY89,0.373111644,0.902,FALSE,-0.0822,0.0508,-0.095,0.0245,-0.0314,
FBXW11,E5RGC1,0.378259339,0.902,FALSE,-0.521,0.222,-0.0896,0.215,-0.299,
FGB,P02675,0.373300791,0.902,FALSE,-0.154,-0.0979,0.487,0.375,-0.252,
PCBP2,Q15366-6,0.374544367,0.902,FALSE,0.0716,-0.00682,-0.0185,-0.103,0.0647,
PLEKHA7,A0A8Q3WLI9,0.372445237,0.902,FALSE,-0.29,0.499,0.0379,-1.44,0.209,
PRSS23,O95084,0.375384172,0.902,FALSE,-0.342,-0.419,0.615,1.95,-0.761,
RPL35A,P18077,0.373658929,0.902,FALSE,-0.079,0.00574,-0.0573,0.173,-0.0732,
RPS25,P62851,0.373890128,0.902,FALSE,0.166,-0.239,0.461,0.318,-0.0735,
SMC1A,Q14683,0.372524355,0.902,FALSE,0.0836,-0.022,-0.0946,-0.0159,0.0615,
SNRPD1,P62314,0.374006912,0.902,FALSE,0.188,-0.299,0.0533,0.784,-0.111,
TMED10,P49755,0.372658401,0.902,FALSE,0.117,-0.0763,-0.301,0.272,0.0405,
AGPS,O00116,0.381191575,0.903,FALSE,-0.132,-0.0307,-0.232,0.542,-0.163,
CYP51A1,A0A8I5KWQ7,0.382310942,0.903,FALSE,-0.0866,0.0161,-0.0857,0.166,-0.0705,
HKDC1,Q2TB90,0.380089099,0.903,FALSE,0.524,-0.544,-0.244,1.29,-0.0197,
KPNA6,O60684,0.382799002,0.903,FALSE,-0.0858,0.0423,-0.267,0.18,-0.0434,
MRPS2,Q9Y399,0.382717806,0.903,FALSE,-0.135,0.11,0.0099,-0.178,-0.0247,
OSBPL8,Q9BZF1-3,0.378711921,0.903,FALSE,-0.0804,0.0144,-0.0106,0.11,-0.066,
PDCD11,A0A3B3IUD7,0.38093994,0.903,FALSE,-0.126,-0.0408,0.364,0.173,-0.167,
PFKM,P08237,0.382769325,0.903,FALSE,-0.181,0.377,0.272,-1.33,0.196,
PGD,P52209-2,0.379878982,0.903,FALSE,0.0681,-0.0166,-0.147,0.0283,0.0516,
PPP3CA,Q08209-2,0.381443689,0.903,FALSE,-0.142,0.0222,0.23,0.0413,-0.119,
RBPMS2,Q6ZRY4,0.381838239,0.903,FALSE,-0.169,0.407,-0.0452,-1.26,0.238,
SLC25A22,Q9H936,0.384246187,0.903,FALSE,-0.102,0.00756,-0.125,0.258,-0.0948,
TM9SF3,Q5TB53,0.379875218,0.903,FALSE,0.137,0.0234,-0.742,0.128,0.16,
TNPO3,C9J7E5,0.379110186,0.903,FALSE,-0.103,-0.0107,0.14,0.155,-0.113,
MPST,P25325-2,0.38665913,0.904,FALSE,0.11,-0.165,-0.0232,0.457,-0.0557,
PABPN1,Q92843-2,0.388507158,0.904,FALSE,0.0891,-0.092,0.338,-0.0353,-0.0029,
PPP2CB,P62714,0.386495531,0.904,FALSE,-0.268,-0.207,0.616,0.953,-0.475,
PSMC5,P62195-2,0.389298882,0.904,FALSE,-0.0612,0.0439,-0.0358,-0.0295,-0.0173,
STK38,Q15208,0.38793547,0.904,FALSE,-0.114,0.107,0.11,-0.276,-0.00633,
SUN1,E9PHI4,0.384422675,0.904,FALSE,-0.0982,0.104,0.0284,-0.238,0.00557,
YARS,P54577,0.385510906,0.904,FALSE,-0.108,0.0391,0.0881,-5.16E-05,-0.0684,
AP3D1,A0A8V8TQW4,0.39226872,0.905,FALSE,0.104,-0.0174,-0.198,-0.00587,0.0865,
ATP2B4,P23634-4,0.396216098,0.905,FALSE,-0.151,0.304,-0.0187,-0.9,0.153,
BAIAP2L1,Q9UHR4,0.391078525,0.905,FALSE,0.148,-0.19,-0.247,0.627,-0.0417,
DDX47,Q9H0S4,0.393100335,0.905,FALSE,-0.171,-0.0808,0.205,0.528,-0.252,
HNRNPH3,P31942-2,0.395789032,0.905,FALSE,0.0786,0.0956,0.00521,-0.543,0.174,
LMF2,Q9BU23,0.394791925,0.905,FALSE,-0.111,0.0842,-0.161,-0.00781,-0.0267,
LPCAT1,Q8NF37,0.390664252,0.905,FALSE,0.0973,-0.126,-0.0781,0.36,-0.0284,
MCM5,P33992,0.394297554,0.905,FALSE,-0.153,-0.112,0.408,0.482,-0.265,
VARS,P26640,0.396302068,0.905,FALSE,-0.0637,-0.0163,0.0114,0.185,-0.0799,
WDR1,A0A8V8TP22,0.392262286,0.905,FALSE,0.206,-0.289,0.212,0.602,-0.0832,
ARF6,P62330,0.403210098,0.906,FALSE,-0.0921,0.124,-0.499,0.022,0.0317,
ATP5B,P06576,0.40129681,0.906,FALSE,-0.101,0.141,0.0581,-0.403,0.0406,
DYNLL1,P63167,0.398688526,0.906,FALSE,0.131,-0.102,0.00741,0.14,0.0291,
GAPVD1,F8W9S7,0.401336331,0.906,FALSE,-0.078,0.0797,-0.0256,-0.146,0.00166,
NSDHL,Q15738,0.401293365,0.906,FALSE,0.123,0.0148,-0.00385,-0.302,0.138,
NUDT2,P50583,0.402717925,0.906,FALSE,-0.109,0.0262,-0.124,0.196,-0.083,
RCN1,Q15293,0.402161395,0.906,FALSE,-0.16,0.166,-0.39,-0.0821,0.00566,
RICTOR,Q6R327,0.401096081,0.906,FALSE,-0.101,0.102,-0.0322,-0.185,0.00127,
RPL7A,P62424,0.400122274,0.906,FALSE,-0.0654,-0.00851,0.0596,0.125,-0.0739,
RSL1D1,O76021,0.398178809,0.906,FALSE,-0.129,-0.0872,0.744,0.11,-0.216,
TPP2,A0A494C1B8,0.400369372,0.906,FALSE,-0.111,0.121,-0.0828,-0.205,0.00957,
ASNS,P08243-2,0.403975692,0.907,FALSE,0.287,-0.454,0.478,0.926,-0.168,
CAPZB,B1AK88,0.407473414,0.907,FALSE,-0.11,0.0592,-0.118,0.0618,-0.0507,
CTNNA1,P35221,0.405743856,0.907,FALSE,0.224,-0.0251,-0.19,-0.22,0.199,
DDX19A.1,I3L0H8,0.403636675,0.907,FALSE,0.0689,-0.00309,-0.0799,-0.0722,0.0658,
EIF2B4,E7ERK9,0.405150056,0.907,FALSE,-0.101,0.0732,0.16,-0.198,-0.0277,
EIF3B,P55884,0.403298939,0.907,FALSE,-0.0599,0.0309,-0.0261,0.0137,-0.029,
GLOD4,Q9HC38-2,0.407466729,0.907,FALSE,0.177,0.0532,-0.197,-0.435,0.23,
GPX8,Q8TED1,0.407482139,0.907,FALSE,-0.0989,0.0478,0.202,-0.128,-0.0511,
IARS,P41252,0.404010938,0.907,FALSE,-0.0841,0.0475,0.118,-0.1,-0.0366,
MTCH2,Q9Y6C9,0.408304349,0.907,FALSE,-0.129,0.015,-0.0408,0.225,-0.114,
NONO,A0A7I2V5Y7,0.409609497,0.907,FALSE,-0.144,0.121,-0.0566,-0.159,-0.023,
POLDIP2,Q9Y2S7,0.409658493,0.907,FALSE,-0.102,-0.00995,0.0486,0.211,-0.112,
PPA1,Q15181,0.405002519,0.907,FALSE,-0.134,0.00711,-0.239,0.399,-0.127,
RAB13,P51153,0.409393603,0.907,FALSE,-0.0916,-0.0169,0.0218,0.236,-0.109,
SLIRP,H0YJW7,0.404548342,0.907,FALSE,0.117,-0.0937,-0.0336,0.163,0.0235,
TCP1,P17987,0.408021398,0.907,FALSE,-0.0642,-0.00343,0.374,-0.107,-0.0676,
ACADM,P11310-2,0.415083165,0.908,FALSE,0.177,-0.185,-0.0874,0.443,-0.00742,
C4orf27,Q9NWY4,0.415894608,0.908,FALSE,0.118,-0.0351,0.166,-0.207,0.083,
EIF4G2,P78344-2,0.416793007,0.908,FALSE,0.192,-0.206,0.291,0.245,-0.0136,
MLF2,Q15773,0.410368952,0.908,FALSE,0.12,-0.0713,0.101,-0.0223,0.0487,
PABPC4,A0A7I2V4L7,0.414558258,0.908,FALSE,0.102,0.0677,-0.268,-0.296,0.17,
SEC23IP,Q9Y6Y8,0.414518466,0.908,FALSE,0.0996,0.012,-0.343,-0.0185,0.112,
SVIL,O95425-4,0.416441178,0.908,FALSE,-0.358,0.664,-0.0228,-1.92,0.306,
TTN,A0A0A0MTS7,0.415314709,0.908,FALSE,-0.28,1.24,0.763,-4.91,0.961,
ABCF1,Q5STZ8,0.41920723,0.909,FALSE,0.0758,-0.132,0.0547,0.341,-0.0564,
ACTN4,O43707,0.423323162,0.909,FALSE,-0.329,0.289,-0.349,-0.266,-0.0401,
ATP5H,O75947,0.423779195,0.909,FALSE,0.113,-0.0955,0.115,0.08,0.0171,
CAPN1,P07384,0.422227063,0.909,FALSE,0.185,-0.156,-0.323,0.467,0.0296,
CRAT,A0A7P0T9R9,0.420359841,0.909,FALSE,-0.0782,0.146,-0.304,-0.226,0.0679,
PGRMC1,O00264,0.4178619,0.909,FALSE,0.155,-0.231,-0.238,0.773,-0.0761,
PTGR1,F2Z3J9,0.418013702,0.909,FALSE,-0.114,0.0375,-0.165,0.187,-0.0761,
RFC3,P40938,0.420528332,0.909,FALSE,0.148,-0.257,0.318,0.519,-0.109,
SEC24B,O95487-2,0.423045295,0.909,FALSE,-0.114,0.00535,0.252,0.0379,-0.108,
SLC25A10,Q9UBX3,0.423605766,0.909,FALSE,-0.122,0.0683,-0.0323,-0.00755,-0.0537,
TJP2,Q9UDY2-7,0.417997447,0.909,FALSE,-0.116,0.0911,-0.261,0.0409,-0.0244,
U2AF2,P26368,0.420115839,0.909,FALSE,0.17,0.00498,-0.0121,-0.352,0.175,
YIPF5,Q969M3,0.41982475,0.909,FALSE,-0.126,0.0952,-0.307,0.0755,-0.0306,
ATP5L,A0A8I5KT86,0.427561938,0.91,FALSE,-0.106,0.225,0.0429,-0.716,0.119,
CAPN2,P17655,0.425353667,0.91,FALSE,0.0974,0.00602,0.181,-0.34,0.103,
ESYT1,Q9BSJ8,0.430579939,0.91,FALSE,0.0724,-0.114,0.000863,0.31,-0.0414,
GLI3,P10071,0.423902825,0.91,FALSE,-0.146,0.164,0.217,-0.509,0.0178,
KLC1,Q07866-2,0.428997248,0.91,FALSE,-0.0909,0.0837,0.125,-0.237,-0.00724,
LRPPRC,P42704,0.430185869,0.91,FALSE,-0.154,-0.122,0.185,0.672,-0.276,
NDUFV1,G3V0I5,0.428515497,0.91,FALSE,-0.113,0.184,-0.0121,-0.502,0.071,
NDUFV2,E7EPT4,0.429584808,0.91,FALSE,0.111,0.105,-0.165,-0.532,0.216,
NOLC1,A0A0A0MRM9,0.42964601,0.91,FALSE,-0.134,0.039,0.00292,0.109,-0.0947,
NPEPPS,P55786,0.430348261,0.91,FALSE,0.0768,0.0879,-0.0505,-0.472,0.165,
NUP133,Q8WUM0,0.428472214,0.91,FALSE,0.119,-0.0817,0.0988,0.0226,0.0375,
TFB1M,Q8WVM0,0.426009516,0.91,FALSE,-0.0702,0.0145,-0.143,0.178,-0.0557,
TXN,P10599-2,0.430443744,0.91,FALSE,0.153,-0.0164,0.517,-0.585,0.137,
ATP13A1,Q9HD20,0.432650677,0.911,FALSE,-0.0668,0.00429,-0.102,0.185,-0.0625,
BAZ1B,Q9UIG0-2,0.434179468,0.911,FALSE,-0.0933,0.0335,0.0985,-0.0128,-0.0599,
CDK6,Q00534,0.434758043,0.911,FALSE,-0.163,0.111,0.287,-0.31,-0.052,
CPT1B,Q92523-4,0.434794036,0.911,FALSE,-0.235,0.0527,0.0765,0.209,-0.183,
GCN1L1,Q92616,0.43455234,0.911,FALSE,-0.0706,-0.0326,0.0608,0.231,-0.103,
HADHA,H0YFD6,0.432334328,0.911,FALSE,-0.0715,0.0802,-0.0584,-0.139,0.00867,
MTHFD1L,A0A087WVM4,0.431529912,0.911,FALSE,-0.17,0.0192,0.178,0.144,-0.15,
RRP1B,Q14684-2,0.434936686,0.911,FALSE,-0.123,0.0953,0.152,-0.237,-0.0276,
SLC39A7,A0A8V8TNV9,0.431140764,0.911,FALSE,0.102,-0.0996,-0.168,0.306,0.00268,
TGFBI,Q15582,0.433107852,0.911,FALSE,-0.392,-0.0279,0.632,0.475,-0.42,
VASP,P50552,0.434350961,0.911,FALSE,-0.153,0.018,-0.355,0.47,-0.135,
VAV2,P52735-3,0.438212236,0.911,FALSE,0.17,-0.125,-0.412,0.435,0.0448,
ACADVL,P49748,0.439276174,0.912,FALSE,-0.115,0.056,-0.237,0.164,-0.0591,
AK3,Q9UIJ7,0.439851547,0.912,FALSE,-0.0731,0.127,-0.296,-0.166,0.0544,
ARMT1,Q9H993,0.43956167,0.912,FALSE,0.15,-0.201,0.0595,0.463,-0.0509,
EXOSC7,Q15024,0.439588529,0.912,FALSE,0.114,-0.152,0.405,0.109,-0.0379,
NDUFS7,O75251,0.440049138,0.912,FALSE,0.151,-0.0495,-0.0196,-0.0909,0.102,
P4HA2,O15460-2,0.440030436,0.912,FALSE,0.0963,0.0933,-0.373,-0.317,0.19,
RPS27,P42677,0.442210667,0.912,FALSE,0.0883,-0.103,0.0841,0.179,-0.0147,
RPS3A,P61247,0.441625144,0.912,FALSE,-0.0951,-0.0555,0.295,0.215,-0.151,
SEC24C,P53992,0.441841777,0.912,FALSE,-0.079,0.0324,-0.17,0.142,-0.0466,
TMPO.1,P42167,0.439948143,0.912,FALSE,0.0882,0.263,0.95,-1.86,0.351,
ACAD8,Q9UKU7,0.451263546,0.913,FALSE,-0.147,0.125,0.369,-0.453,-0.0219,
ETFA,P13804,0.446595895,0.913,FALSE,-0.124,0.0806,-0.113,0.00184,-0.0438,
FAM120A,Q9NZB2,0.451555645,0.913,FALSE,-0.122,0.0112,0.0376,0.173,-0.11,
LUC7L2,Q9Y383,0.453030088,0.913,FALSE,0.126,-0.0913,0.133,0.0249,0.0345,
METTL7B,Q6UX53,0.45151003,0.913,FALSE,0.121,-0.111,-0.131,0.29,0.00975,
MYOZ2,Q9NPC6,0.44617888,0.913,FALSE,-0.34,0.324,-0.208,-0.476,-0.0159,
PFN2,G5E9Q6,0.450047943,0.913,FALSE,-0.079,-0.0615,0.307,0.199,-0.14,
PYGL,P06737,0.449008363,0.913,FALSE,0.119,0.106,-0.125,-0.579,0.225,
RPS7,P62081,0.449309869,0.913,FALSE,-0.0552,0.0135,-0.0147,0.0661,-0.0417,
2-Sep,B5MCX3,0.453237987,0.913,FALSE,0.163,-0.0448,-0.195,-0.0166,0.118,
SRSF6,A0A590UJK4,0.448501431,0.913,FALSE,0.102,-0.0555,0.172,-0.0969,0.0467,
TMED1,Q13445,0.4515337,0.913,FALSE,0.122,-0.0296,-0.211,0.0146,0.0927,
XPO5,Q9HAV4,0.448075983,0.913,FALSE,-0.181,-0.113,0.35,0.579,-0.294,
ACOT7,O00154-6,0.457055672,0.914,FALSE,-0.0862,-0.00138,-0.0231,0.193,-0.0875,
ACSL4,O60488-2,0.461211792,0.914,FALSE,-0.224,0.166,-1.01,0.458,-0.0573,
AKAP2,Q9Y2D5-6,0.457314818,0.914,FALSE,-0.119,0.052,-0.0413,0.0576,-0.067,
COL6A2,P12110,0.458331968,0.914,FALSE,-0.503,0.0943,0.375,0.378,-0.409,
COL6A3,P12111-2,0.460114884,0.914,FALSE,-0.719,0.736,0.763,-2.02,0.0179,
DCN,F8VXZ8,0.454211597,0.914,FALSE,0.256,-0.143,0.733,-0.431,0.114,
DDX18,Q9NVP1,0.454565027,0.914,FALSE,0.072,-0.0556,0.455,-0.225,0.0165,
DDX5,P17844,0.459840168,0.914,FALSE,0.0577,0.0584,-0.176,-0.231,0.116,
HNRNPUL1,Q9BUJ2-2,0.458519438,0.914,FALSE,0.142,0.144,-0.228,-0.708,0.286,
LIN28A,Q9H9Z2,0.459906746,0.914,FALSE,0.203,-0.403,0.5,0.87,-0.199,
NIPSNAP1,Q9BPW8,0.45524259,0.914,FALSE,-0.0829,0.0643,-0.408,0.181,-0.0186,
NSF,I3L0N3,0.456115856,0.914,FALSE,-0.0683,0.0611,0.114,-0.184,-0.00717,
NUP210,Q8TEM1,0.456132345,0.914,FALSE,-0.214,-0.144,0.22,0.858,-0.358,
PDHB,P11177-2,0.460283602,0.914,FALSE,-0.082,0.103,0.0307,-0.269,0.0211,
PSMD6,Q15008,0.45798184,0.914,FALSE,-0.068,0.0866,-0.288,-0.0185,0.0185,
RPS24,E7ETK0,0.461297192,0.914,FALSE,-0.0714,0.0229,0.0703,0.00451,-0.0485,
SLC25A6,P12236,0.454746576,0.914,FALSE,-0.109,0.194,0.0685,-0.604,0.0848,
VPS13B,Q7Z7G8-2,0.46163889,0.914,FALSE,-0.135,-0.00874,0.0231,0.29,-0.144,
CDK5,Q00535-2,0.467278056,0.915,FALSE,-0.0746,0.0178,0.0815,0.0237,-0.0568,
COPB1,P53618,0.465968623,0.915,FALSE,-0.0751,0.0472,-0.246,0.125,-0.0279,
CRIP2,H0YFA4,0.462687997,0.915,FALSE,0.154,0.157,-0.858,-0.365,0.311,
CTNNBL1,A0A087WUB9,0.465504719,0.915,FALSE,-0.126,-0.238,0.643,0.777,-0.365,
CUL4B,A0A7P0T954,0.463668769,0.915,FALSE,-0.0706,0.0128,-0.0405,0.117,-0.0577,
DEK,H0Y993,0.466756356,0.915,FALSE,0.144,-0.229,0.69,0.17,-0.0854,
HDLBP,A0A024R4E5,0.462554825,0.915,FALSE,-0.0882,0.0613,-0.17,0.0445,-0.0269,
HSD17B7,P56937-3,0.469751734,0.915,FALSE,-0.0715,0.0694,-0.0808,-0.0805,-0.00215,
LONP2,Q86WA8,0.465442241,0.915,FALSE,-0.118,-0.0348,0.138,0.284,-0.153,
PRKACB,P22694,0.465204565,0.915,FALSE,-0.0601,0.0751,-0.0992,-0.114,0.015,
PTPN12,Q05209,0.466641204,0.915,FALSE,-0.0992,0.032,-0.0581,0.109,-0.0673,
PUM1,Q14671-3,0.463230332,0.915,FALSE,-0.149,-0.0655,0.294,0.365,-0.215,
TIPRL,O75663,0.469488336,0.915,FALSE,0.101,0.0394,0.0206,-0.374,0.141,
TUBA1A,Q71U36-2,0.465034565,0.915,FALSE,-0.057,0.0349,-0.0367,-0.00106,-0.0221,
ACAT1,A0A5F9ZHL1,0.475361885,0.916,FALSE,-0.0828,0.0211,0.0537,0.0455,-0.0617,
ANK3,Q12955,0.470950954,0.916,FALSE,0.114,0.027,-0.311,-0.129,0.141,
ATP6V1A,P38606-2,0.472926704,0.916,FALSE,-0.0861,0.0204,-0.16,0.197,-0.0657,
CKAP4,Q07065,0.471973258,0.916,FALSE,-0.163,0.084,-0.341,0.218,-0.0793,
COX4I1,P13073,0.473757469,0.916,FALSE,0.201,-0.231,-0.0519,0.555,-0.0299,
FKBP15,A0A8I5QJ94,0.471837393,0.916,FALSE,0.112,-0.0881,-0.0294,0.147,0.0242,
FOXP1,A0A3B3IST0,0.47626033,0.916,FALSE,0.177,-0.049,-0.229,-0.00533,0.128,
HNRNPLL,B7WPG3,0.473558991,0.916,FALSE,-0.0632,0.0456,-0.0125,-0.0476,-0.0176,
LAMA2,A0A087WYF1,0.476801381,0.916,FALSE,-0.279,-0.0988,1.21,0.146,-0.378,
MRPS22,H7C5L9,0.474772197,0.916,FALSE,-0.066,0.0709,-0.0996,-0.0852,0.0049,
NUP155,E9PF10,0.472780345,0.916,FALSE,-0.109,-0.085,0.224,0.409,-0.194,
PLG,P00747,0.470633207,0.916,FALSE,-0.336,-0.00887,0.188,0.583,-0.345,
SCYL2,F8VSC5,0.473778339,0.916,FALSE,0.13,0.0187,-0.0584,-0.295,0.148,
UGDH,O60701,0.474766422,0.916,FALSE,0.071,-0.0921,-0.172,0.341,-0.0211,
ASCC3,Q8N3C0,0.487195362,0.917,FALSE,-0.0682,0.0306,0.0329,-0.008,-0.0376,
C11orf68,Q9H3H3-1,0.48243678,0.917,FALSE,-0.0978,0.0965,0.239,-0.35,-0.00127,
DSG2,Q14126,0.479637798,0.917,FALSE,-0.662,0.582,-1.1,-0.271,-0.08,
EEF1G,P26641,0.485661309,0.917,FALSE,0.0574,-0.105,0.0862,0.249,-0.0479,
FN3KRP,Q9HA64,0.480507912,0.917,FALSE,0.173,0.0404,0.345,-0.739,0.214,
HSD17B4,P51659,0.487019667,0.917,FALSE,-0.0957,-0.0522,-0.116,0.477,-0.148,
INTS4,Q96HW7,0.482419679,0.917,FALSE,-0.0668,0.0346,0.0698,-0.0515,-0.0321,
LRBA,P50851-2,0.485262506,0.917,FALSE,-0.0738,0.00892,-0.16,0.219,-0.0649,
PDIA4,P13667,0.481448433,0.917,FALSE,0.139,0.0176,-0.388,-0.0905,0.157,
PICALM,Q13492,0.479591156,0.917,FALSE,-0.145,0.0545,-0.021,0.0859,-0.0905,
RABL3,Q5HYI8,0.48508821,0.917,FALSE,0.171,-0.234,0.0961,0.53,-0.0627,
RHOA,P61586,0.484838124,0.917,FALSE,-0.135,-0.0953,0.175,0.534,-0.23,
RPS21,Q8WVC2,0.483997776,0.917,FALSE,-0.148,0.0589,-0.357,0.298,-0.089,
SAFB,Q15424,0.48311157,0.917,FALSE,0.117,0.405,-0.294,-1.66,0.521,
SCAMP3,O14828-2,0.478910104,0.917,FALSE,-0.113,0.0698,-0.00539,-0.0501,-0.043,
SUCLG1,P53597,0.485497269,0.917,FALSE,-0.078,0.113,0.0771,-0.347,0.0349,
TIMMDC1,Q9NPL8,0.480007764,0.917,FALSE,-0.123,0.0984,0.0393,-0.174,-0.0245,
UBA3,Q8TBC4,0.48367415,0.917,FALSE,0.0908,-0.0197,0.288,-0.295,0.0711,
UBR4,Q5T4S7-3,0.479264249,0.917,FALSE,0.061,-7.55E-05,-0.0278,-0.103,0.0609,
AFG3L2,A0A8I5KVV1,0.495234631,0.918,FALSE,-0.0924,0.106,-0.0843,-0.182,0.0135,
AHCYL1,O43865,0.495137877,0.918,FALSE,-0.144,-0.113,0.263,0.566,-0.257,
AKR1A1,P14550,0.488885882,0.918,FALSE,0.178,-0.386,0.0642,1.15,-0.208,
ALG5,A0A7P0TAL2,0.488282342,0.918,FALSE,0.0981,-0.0938,-0.162,0.287,0.00429,
CHTF8,P0CG12,0.492709131,0.918,FALSE,0.204,-0.0157,0.504,-0.681,0.188,
CORO1B,Q9BR76,0.493138364,0.918,FALSE,0.0902,-0.0697,-0.28,0.285,0.0205,
CUL2,Q13617-2,0.489277993,0.918,FALSE,-0.0953,-0.0205,-0.0395,0.299,-0.116,
DDX54,Q8TDD1,0.494894081,0.918,FALSE,-0.0724,-0.0289,0.00299,0.258,-0.101,
DLAT,A0A7P0Z4G4,0.495380282,0.918,FALSE,-0.116,0.0386,0.118,-0.00105,-0.0773,
EIF5A,I3L397,0.495073848,0.918,FALSE,-0.157,-0.204,0.5,0.798,-0.362,
EXOC4,Q96A65,0.49430862,0.918,FALSE,0.0615,-0.036,-0.0917,0.0822,0.0255,
HNRNPM,P52272-2,0.493728058,0.918,FALSE,0.0757,0.302,-0.506,-1.02,0.378,
MAN1B1,H0YGV7,0.493885195,0.918,FALSE,-0.097,0.0125,-0.164,0.253,-0.0845,
MMP11,P24347,0.493732777,0.918,FALSE,0.249,-0.383,0.00807,1.03,-0.135,
NIFK,Q9BYG3,0.493562548,0.918,FALSE,-0.0756,0.0323,0.208,-0.117,-0.0433,
